"filename","subject","date","time","tot_num_trials","tot_num_free","tot_num_fd","tot_num_fi","tot_forced_trials","events_before_center","events_before_center_fd","events_before_center_fi","events_before_center_tot","events_before_choice","events_before_choice_fd","events_before_choice_fi","events_before_choice_tot","events_during_to","events_during_to_fd","events_during_to_fi","events_during_to_tot"
"./Ship3_Latin-square/2019-08-25_13h05m_Subject 47099.txt","47099",2019-08-25,"13:05",80,60,10,10,20,33,0,4,37,120,89,14,223,829,147,142,1118
"./Ship3_Latin-square/2019-08-25_13h37m_Subject 46893.txt","46893",2019-08-25,"13:37",79,60,8,11,19,38,4,14,56,51,12,29,92,863,99,171,1133
"./Ship3_Latin-square/2019-08-25_13h37m_Subject 47638.txt","47638",2019-08-25,"13:37",79,59,12,8,20,83,26,11,120,45,14,46,105,480,89,43,612
"./Ship3_Latin-square/2019-08-25_13h37m_Subject 47757.txt","47757",2019-08-25,"13:37",70,52,8,10,18,109,19,27,155,108,32,29,169,370,67,89,526
"./Ship3_Latin-square/2019-08-25_13h37m_Subject 47769.txt","47769",2019-08-25,"13:37",81,60,13,8,21,62,10,12,84,67,29,15,111,810,130,105,1045
"./Ship3_Latin-square/2019-08-25_13h37m_Subject 47771.txt","47771",2019-08-25,"13:37",83,60,10,13,23,107,43,15,165,65,23,48,136,517,76,154,747
"./Ship3_Latin-square/2019-08-25_13h37m_Subject 47775.txt","47775",2019-08-25,"13:37",85,59,8,18,26,96,22,13,131,88,69,43,200,652,72,242,966
"./Ship3_Latin-square/2019-08-25_13h37m_Subject 47782.txt","47782",2019-08-25,"13:37",83,60,5,18,23,56,3,10,69,22,1,42,65,573,45,155,773
"./Ship3_Latin-square/2019-08-25_13h37m_Subject 47788.txt","47788",2019-08-25,"13:37",77,60,2,15,17,50,1,11,62,96,2,25,123,486,16,121,623
"./Ship3_Latin-square/2019-08-25_14h12m_Subject 47080.txt","47080",2019-08-25,"14:12",82,60,9,13,22,24,3,4,31,47,7,8,62,565,67,149,781
"./Ship3_Latin-square/2019-08-25_14h12m_Subject 47089.txt","47089",2019-08-25,"14:12",57,42,11,4,15,112,44,4,160,97,64,52,213,280,61,13,354
"./Ship3_Latin-square/2019-08-26_10h07m_Subject 47238.txt","47238",2019-08-26,"10:07",78,56,10,12,22,106,35,23,164,78,19,71,168,472,79,128,679
"./Ship3_Latin-square/2019-08-26_10h07m_Subject 47242.txt","47242",2019-08-26,"10:07",56,42,12,2,14,281,66,2,349,48,20,2,70,456,91,28,575
"./Ship3_Latin-square/2019-08-26_10h07m_Subject 47767.txt","47767",2019-08-26,"10:07",7,5,2,0,2,125,6,0,131,87,12,0,99,16,8,0,24
"./Ship3_Latin-square/2019-08-26_11h19m_Subject 47229.txt","47229",2019-08-26,"11:19",86,60,14,12,26,95,9,15,119,70,34,22,126,650,144,118,912
"./Ship3_Latin-square/2019-08-26_11h19m_Subject 47777.txt","47777",2019-08-26,"11:19",76,57,8,11,19,131,24,19,174,54,11,7,72,355,51,81,487
"./Ship3_Latin-square/2019-08-26_11h24m_Subject 47076.txt","47076",2019-08-26,"11:24",85,60,11,14,25,101,47,41,189,83,38,80,201,668,99,205,972
"./Ship3_Latin-square/2019-08-26_11h24m_Subject 47082.txt","47082",2019-08-26,"11:24",70,52,12,6,18,147,52,27,226,57,53,6,116,527,96,81,704
"./Ship3_Latin-square/2019-08-26_11h24m_Subject 47226.txt","47226",2019-08-26,"11:24",80,56,12,12,24,143,24,30,197,59,5,16,80,442,76,124,642
"./Ship3_Latin-square/2019-08-26_11h24m_Subject 47227.txt","47227",2019-08-26,"11:24",81,60,9,12,21,127,60,17,204,53,20,99,172,510,76,147,733
"./Ship3_Latin-square/2019-08-26_11h24m_Subject 47250.txt","47250",2019-08-26,"11:24",84,60,13,11,24,55,9,10,74,45,24,33,102,619,98,130,847
"./Ship3_Latin-square/2019-08-26_11h24m_Subject 47646.txt","47646",2019-08-26,"11:24",81,60,5,16,21,103,10,22,135,56,8,23,87,584,34,257,875
"./Ship3_Latin-square/2019-08-26_11h24m_Subject 47795.txt","47795",2019-08-26,"11:24",81,60,9,12,21,128,12,19,159,94,23,17,134,574,79,137,790
"./Ship3_Latin-square/2019-08-26_12h26m_Subject 46881.txt","46881",2019-08-26,"12:26",56,41,9,6,15,146,42,21,209,49,17,75,141,220,41,61,322
"./Ship3_Latin-square/2019-08-26_12h26m_Subject 47087.txt","47087",2019-08-26,"12:26",36,28,5,3,8,275,25,4,304,45,6,9,60,208,46,21,275
"./Ship3_Latin-square/2019-08-26_12h26m_Subject 47634.txt","47634",2019-08-26,"12:26",60,41,10,9,19,105,49,23,177,39,28,33,100,220,51,63,334
"./Ship3_Latin-square/2019-08-26_12h26m_Subject 47640.txt","47640",2019-08-26,"12:26",56,41,8,7,15,107,10,12,129,60,52,5,117,279,60,51,390
"./Ship3_Latin-square/2019-08-26_12h26m_Subject 47754.txt","47754",2019-08-26,"12:26",36,28,7,1,8,117,9,0,126,49,19,4,72,179,38,6,223
"./Ship3_Latin-square/2019-08-26_12h26m_Subject 47800.txt","47800",2019-08-26,"12:26",77,60,9,8,17,111,22,14,147,92,23,16,131,437,62,59,558
"./Ship3_Latin-square/2019-08-26_12h35m_Subject 46882.txt","46882",2019-08-26,"12:35",71,52,9,10,19,156,11,18,185,54,48,38,140,399,69,140,608
"./Ship3_Latin-square/2019-08-26_12h35m_Subject 46894.txt","46894",2019-08-26,"12:35",80,60,4,16,20,41,1,7,49,90,6,10,106,568,43,161,772
"./Ship3_Latin-square/2019-08-26_12h35m_Subject 47088.txt","47088",2019-08-26,"12:35",84,60,14,10,24,94,15,12,121,76,27,22,125,384,63,114,561
"./Ship3_Latin-square/2019-08-26_12h35m_Subject 47228.txt","47228",2019-08-26,"12:35",82,60,8,14,22,73,5,9,87,93,6,13,112,767,89,161,1017
"./Ship3_Latin-square/2019-08-26_12h35m_Subject 47243.txt","47243",2019-08-26,"12:35",79,60,7,12,19,90,13,16,119,82,20,52,154,844,83,185,1112
"./Ship3_Latin-square/2019-08-26_12h35m_Subject 47249.txt","47249",2019-08-26,"12:35",80,60,11,9,20,92,23,12,127,102,41,21,164,346,40,71,457
"./Ship3_Latin-square/2019-08-26_12h35m_Subject 47639.txt","47639",2019-08-26,"12:35",80,60,8,12,20,26,4,5,35,50,13,16,79,838,101,177,1116
"./Ship3_Latin-square/2019-08-26_12h35m_Subject 47758.txt","47758",2019-08-26,"12:35",85,60,13,12,25,46,12,12,70,34,24,15,73,507,59,148,714
"./Ship3_Latin-square/2019-08-26_12h35m_Subject 47759.txt","47759",2019-08-26,"12:35",69,51,8,10,18,89,8,18,115,57,8,13,78,238,25,64,327
"./Ship3_Latin-square/2019-08-26_12h35m_Subject 47776.txt","47776",2019-08-26,"12:35",81,60,8,13,21,48,4,6,58,108,28,22,158,864,110,210,1184
"./Ship3_Latin-square/2019-08-26_12h35m_Subject 47799.txt","47799",2019-08-26,"12:35",79,59,9,11,20,93,5,17,115,128,84,26,238,268,27,81,376
"./Ship3_Latin-square/2019-08-26_13h44m_Subject 46888.txt","46888",2019-08-26,"13:44",84,60,12,12,24,33,7,5,45,159,30,44,233,811,131,215,1157
"./Ship3_Latin-square/2019-08-26_13h44m_Subject 46892.txt","46892",2019-08-26,"13:44",86,60,12,14,26,82,16,14,112,46,6,8,60,432,46,134,612
"./Ship3_Latin-square/2019-08-26_13h44m_Subject 47097.txt","47097",2019-08-26,"13:44",79,60,10,9,19,77,17,10,104,95,16,26,137,526,76,62,664
"./Ship3_Latin-square/2019-08-26_13h44m_Subject 47099.txt","47099",2019-08-26,"13:44",84,60,14,10,24,101,3,31,135,104,50,10,164,553,100,76,729
"./Ship3_Latin-square/2019-08-26_13h48m_Subject 46893.txt","46893",2019-08-26,"13:48",82,60,11,11,22,32,9,6,47,45,10,14,69,1150,192,228,1570
"./Ship3_Latin-square/2019-08-26_13h48m_Subject 47638.txt","47638",2019-08-26,"13:48",74,56,11,7,18,129,28,9,166,91,28,74,193,425,101,55,581
"./Ship3_Latin-square/2019-08-26_13h48m_Subject 47757.txt","47757",2019-08-26,"13:48",70,53,9,8,17,118,26,30,174,78,13,13,104,357,50,51,458
"./Ship3_Latin-square/2019-08-26_13h48m_Subject 47769.txt","47769",2019-08-26,"13:48",83,60,10,13,23,47,1,8,56,71,24,32,127,1026,126,282,1434
"./Ship3_Latin-square/2019-08-26_13h48m_Subject 47771.txt","47771",2019-08-26,"13:48",79,60,10,9,19,55,6,10,71,47,17,21,85,572,87,127,786
"./Ship3_Latin-square/2019-08-26_13h48m_Subject 47775.txt","47775",2019-08-26,"13:48",85,60,11,14,25,60,11,10,81,46,11,10,67,544,85,141,770
"./Ship3_Latin-square/2019-08-26_13h48m_Subject 47781.txt","47781",2019-08-26,"13:48",80,60,8,12,20,87,5,8,100,160,21,68,249,841,96,201,1138
"./Ship3_Latin-square/2019-08-26_13h48m_Subject 47782.txt","47782",2019-08-26,"13:48",78,60,12,6,18,49,10,4,63,21,7,5,33,548,45,92,685
