"filename","subject","date","time","avg_rxn_time_free","avg_choice_rxn_time_free"
"./Ship3_Latin-square/2019-08-26_11h19m_Subject 47229.txt","47229",2019-08-26,"11:19",375.3,251.466666666667
"./Ship3_Latin-square/2019-08-26_11h19m_Subject 47777.txt","47777",2019-08-26,"11:19",1084.14035087719,538.491228070175
"./Ship3_Latin-square/2019-08-26_11h24m_Subject 47076.txt","47076",2019-08-26,"11:24",472.65,274.266666666667
"./Ship3_Latin-square/2019-08-26_11h24m_Subject 47082.txt","47082",2019-08-26,"11:24",1654.84615384615,183.865384615385
"./Ship3_Latin-square/2019-08-26_11h24m_Subject 47226.txt","47226",2019-08-26,"11:24",1216.48214285714,219.642857142857
"./Ship3_Latin-square/2019-08-26_11h24m_Subject 47227.txt","47227",2019-08-26,"11:24",905.833333333333,182.2
"./Ship3_Latin-square/2019-08-26_11h24m_Subject 47250.txt","47250",2019-08-26,"11:24",326,171.5
"./Ship3_Latin-square/2019-08-26_11h24m_Subject 47646.txt","47646",2019-08-26,"11:24",941.016666666667,317.516666666667
"./Ship3_Latin-square/2019-08-26_11h24m_Subject 47795.txt","47795",2019-08-26,"11:24",731.6,315.166666666667
"./Ship3_Latin-square/2019-08-26_12h26m_Subject 46881.txt","46881",2019-08-26,"12:26",2496.78048780488,359.268292682927
"./Ship3_Latin-square/2019-08-26_12h26m_Subject 47087.txt","47087",2019-08-26,"12:26",2949.77777777778,377.925925925926
"./Ship3_Latin-square/2019-08-26_12h26m_Subject 47634.txt","47634",2019-08-26,"12:26",2119.78048780488,346.268292682927
"./Ship3_Latin-square/2019-08-26_12h26m_Subject 47640.txt","47640",2019-08-26,"12:26",3042.075,431.325
"./Ship3_Latin-square/2019-08-26_12h26m_Subject 47754.txt","47754",2019-08-26,"12:26",7982.82142857143,449.857142857143
"./Ship3_Latin-square/2019-08-26_12h26m_Subject 47800.txt","47800",2019-08-26,"12:26",1065.46666666667,243.366666666667
"./Ship3_Latin-square/2019-08-26_12h35m_Subject 46882.txt","46882",2019-08-26,"12:35",1567.01923076923,259.352941176471
"./Ship3_Latin-square/2019-08-26_12h35m_Subject 46894.txt","46894",2019-08-26,"12:35",612.2,401.583333333333
"./Ship3_Latin-square/2019-08-26_12h35m_Subject 47088.txt","47088",2019-08-26,"12:35",649.783333333333,228.883333333333
"./Ship3_Latin-square/2019-08-26_12h35m_Subject 47228.txt","47228",2019-08-26,"12:35",444.65,322.566666666667
"./Ship3_Latin-square/2019-08-26_12h35m_Subject 47243.txt","47243",2019-08-26,"12:35",319.9,378.45
"./Ship3_Latin-square/2019-08-26_12h35m_Subject 47249.txt","47249",2019-08-26,"12:35",583.516666666667,212.333333333333
"./Ship3_Latin-square/2019-08-26_12h35m_Subject 47639.txt","47639",2019-08-26,"12:35",159.766666666667,194.316666666667
