"filename","subject","date","time","delay","tot_num_trials","tot_num_free","tot_num_fd","tot_num_fi","tot_forced_trials","events_before_center","events_before_center_fd","events_before_center_fi","events_before_center_tot","events_before_choice","events_before_choice_fd","events_before_choice_fi","events_before_choice_tot","events_during_to","events_during_to_fd","events_during_to_fi","events_during_to_tot","avg_rxn_time_free","avg_choice_rxn_time_free","avg_timeout_dur_free","avg_collection_time_free","avg_events_before_collect_imm","avg_events_before_collect_del","events_before_collect_tot","percent_reward_collected"
"./Ship3_Latin-square/2019-09-10_10h09m_Subject 47780.txt","47780",2019-09-10,"10:09",24,52,38,12,2,14,83,19,5,107,82,28,2,112,150,5,10,165,3185.23684210526,1083.05405405405,2416.18918918919,3116.16216216216,69,12,81,100
"./Ship3_Latin-square/2019-09-10_10h15m_Subject 46884.txt","46884",2019-09-10,"10:15",24,43,31,8,4,12,44,2,3,49,69,8,3,80,99,6,8,113,3235.25806451613,2045.38709677419,1993.48387096774,8369.80952380952,48,43,91,75
"./Ship3_Latin-square/2019-09-10_10h15m_Subject 47083.txt","47083",2019-09-10,"10:15",8,76,58,11,7,18,54,3,5,62,49,14,16,79,272,28,31,331,1246.81034482759,308.827586206897,2641.36206896552,2437.3125,120,80,200,86.4406779661017
"./Ship3_Latin-square/2019-09-10_10h15m_Subject 47086.txt","47086",2019-09-10,"10:15",0,79,60,8,11,19,26,0,2,28,37,11,4,52,442,65,103,610,304.633333333333,190.866666666667,2999.93220338983,1872.01851851852,59,96,155,93.4426229508197
"./Ship3_Latin-square/2019-09-10_10h15m_Subject 47246.txt","47246",2019-09-10,"10:15",24,65,48,10,7,17,138,17,17,172,48,6,26,80,172,4,58,234,2252.40425531915,271.553191489362,1927.6170212766,1716.31818181818,55,68,123,97.9166666666667
"./Ship3_Latin-square/2019-09-10_10h15m_Subject 47635.txt","47635",2019-09-10,"10:15",4,81,60,9,12,21,44,4,5,53,61,9,26,96,481,68,82,631,440.05,244.333333333333,2783,1825.77966101695,50,75,125,100
"./Ship3_Latin-square/2019-09-10_10h15m_Subject 47779.txt","47779",2019-09-10,"10:15",4,82,59,11,12,23,39,2,6,47,35,12,18,65,174,35,56,265,1114.18644067797,169.016949152542,2799.98275862069,3228.39473684211,89,74,163,76.271186440678
"./Ship3_Latin-square/2019-09-10_10h15m_Subject 47797.txt","47797",2019-09-10,"10:15",24,20,14,5,1,6,28,5,4,37,11,13,1,25,27,5,3,35,8558.5,318,2485.64285714286,8452,10,4,14,100
"./Ship3_Latin-square/2019-09-10_11h38m_Subject 46900.txt","46900",2019-09-10,"11:38",24,81,60,14,7,21,68,2,12,82,40,17,6,63,468,9,98,575,337.816666666667,192.6,2023.62711864407,1204.29411764706,66,58,124,86.8852459016393
"./Ship3_Latin-square/2019-09-10_11h38m_Subject 46986.txt","46986",2019-09-10,"11:38",16,69,54,12,3,15,68,7,1,76,11,5,0,16,207,24,10,241,1815.92452830189,144.679245283019,2426.37735849057,3404.16666666667,160,48,208,72.2222222222222
